,PHA-L,PHA-E,DSL,ConA,PNA,MAL-I,MAL-II,SNA,DBA,ECA,AAL,LEL,GSL-II,Galectin-3,UEA-I
PERM1,0.013942930260985397,0.008439443367025038,-0.013809833633749337,0.006200212296359069,-0.007916838242635883,-0.023536898997306682,-0.014444681903967681,0.013507102545362097,-0.008005873090671547,0.003675893042485201,0.0011681026305203342,-0.004904198875289162,0.008193688941551524,-0.009112653680148599,-0.00847720354759883
ISG15,0.016911867899139878,0.014913498372439266,-0.036762818332676035,0.038126397223610727,-0.0025066085664063494,-0.036159648518331276,-0.016873505879438765,0.05284671818121633,0.0072791642214002465,0.026592036394259586,0.04364445685192771,0.02628297225052046,0.021218558215736604,0.012440384423841438,0.004855149351312577
ENSG00000224969,0.013319426741530818,0.01734322874874519,-0.010848391014508746,0.007183969191448716,0.004807426503155486,-0.017662049773952554,-0.010355260357264846,-0.0019826693949164522,0.005352202976721065,-0.011461919121556318,0.030312639068790868,-0.009642394388432663,-0.005615486763413184,0.013457098682894414,0.013339796592761093
TNFRSF18,0.0667500999179591,0.1348012008505025,-0.10677696158977261,0.04994275725674428,0.026751166741376516,-0.027188218208444255,-0.07020943645771813,-0.01456709212625725,0.03004441585768279,-0.0031069100071990843,0.05968181805274814,0.10306868034393964,0.009914407613224487,0.03882208837242965,0.03282989049892907
TNFRSF4,0.043551281915840775,0.0831369474341838,-0.07939360654193489,0.0431464217016146,0.006776226454569975,-0.030858696166126593,-0.06958025120087757,0.009046377565276134,0.010270725067721304,0.04200849043057777,0.062371495325659554,0.05241828031100861,0.0417324140446169,0.05396693460771689,0.052614448566842525
ENSG00000224387,-0.009070264395020285,-0.0174095699336753,-0.02070113287137909,-0.02143730004098205,-0.003957174313713602,-0.004842713788469362,-0.011215524048963728,-0.019071118000426764,-0.004001677738297254,-0.014797664043375828,-0.009293370139598344,0.00047848686513333197,-0.006487788394622069,-0.014792495683953067,-0.004237268856905552
AJAP1,0.0024001695126883507,0.021481625524241037,0.00044069996565651695,0.036167188656388356,-0.009698140685661336,0.036463668514555805,0.020311484327173238,0.021227941104847436,0.033869287017926714,-0.002367037341094797,0.005777374555077973,0.02303785366179737,-0.002426632905578602,0.03767750462711208,0.03043046679554366
ENSG00000236948,0.038112554367880094,0.02793852442022465,0.015681169085189905,0.021984523771690526,-0.0024661772189445317,-0.004767949371258742,-0.03914324562661996,0.051446968977328054,-0.004498025429316916,0.0245216434457177,0.04761274104622346,0.005305510350951594,0.020354667927296947,0.0070141058152882714,-0.0030077292433174857
PER3,0.024260410552589824,0.028472164357145478,-0.02603772330026154,0.05763362360505728,0.0021676071807408756,-0.021199689024520834,0.008898572995079712,0.06643910734794486,-0.006675940462004164,0.00578388142921395,0.07297607097878499,-0.025353492154257386,0.012677067958616336,0.014429563180444116,0.01915979448271015
TNFRSF9,-0.013758448701424904,0.026535244868187976,-0.03659411057965268,0.04119796123746572,-0.015465636535442596,-0.010290914646945076,-0.030846607030052715,0.0013293891425608163,0.012262656320621406,-0.00039841985044902995,0.049999415705906526,0.05187326184737182,0.02111916944866384,0.03564965202413508,-0.008611307203709846
