,PHA-L,PHA-E,DSL,ConA,PNA,MAL-I,MAL-II,SNA,DBA,ECA,AAL,LEL,GSL-II,Galectin-3,UEA-I
PERM1,0.045131831468317146,0.01295426623110458,0.014155780578632435,0.00812458776951918,0.08739989632236599,-0.019288927590732138,0.014821272438565103,0.028612345230973068,0.05600292814111768,0.06264788094687392,0.02387550655323364,0.007148514687403225,0.02333147643582723,0.03685329070964418,0.06327533852892003
ISG15,-0.05090871115366561,0.023369865773376623,-0.021267797076704724,0.004311040542029456,-0.01752809321226953,0.09163462558624225,-0.03478461718976835,-0.02670086873973846,-0.022021727389717784,-0.063301677768571,0.030016398432856962,0.05880737231028318,-0.025136107156999182,-0.01715887395506,-0.0072490963071990345
ENSG00000224969,0.011117992468596901,0.005852037388919762,-0.015608585370925743,0.002468092754795772,-0.020146981680723743,0.00909164948981112,-0.014821061177318063,-0.01891186091982417,-0.01528297597863123,-0.020620998525020074,0.0057879323227557405,0.004435440410010422,-0.025127068981550434,-0.007902484079162364,-0.013951800697811908
TNFRSF18,-0.08002284172529461,-0.08603849800357447,-0.03402761971141766,-0.0509952671007321,-0.03310838656253018,0.017895722725706577,-0.0653931548587154,-0.005145823426517857,0.005699939353782834,0.01122288388771971,-0.006705801584612668,0.1054755244155656,-0.04240107534545391,0.09040547524916795,-0.030264780034601126
TNFRSF4,0.005956613940242253,0.06115098591837512,0.030447277515604526,0.03403930213795376,0.0072399065679636405,0.006720660968947773,0.02312771287028138,0.013908467319735371,0.01821671587761125,0.014834301117896877,0.04801648400247185,0.014658701330028811,-0.012336878242613465,0.027212455693412223,-0.032481081626061704
ENSG00000224387,-0.03930371037369679,-0.021473789048926762,-0.025200659493290076,-0.03638342594549823,-0.007600010822338515,-0.030017056172418784,-0.019524592168436758,-0.043549034062545317,-0.005765170419858368,-0.02340727015582043,-0.03584717111183938,-0.041943536032776896,-0.009478640484204262,-0.026433644678427883,-0.005263013486329406
AJAP1,0.049646405132078145,0.05307691259573999,0.03481057797617531,0.042090374267908966,0.0363506970509248,-0.01458512221158757,0.046641379594535994,0.029850965768963324,-0.009992057132020324,0.04277265120720874,0.03786541936320615,-0.020122559260135668,0.0651950912286357,0.013887849272051795,-0.009121730601554159
ENSG00000236948,0.06592189019546839,0.03373809379996188,0.04201888943670893,0.06343683590870726,0.020325385777322125,-0.039311524778141906,0.07482409552508532,0.09446978499967931,0.03510841869342651,0.07786026598560823,0.058332029498533534,-0.0435268172231997,0.042181508777112284,0.025790330494030615,-0.012912658510896183
PER3,0.03874013224541741,0.035416354138967765,0.04078114033509339,0.043120024866875155,0.019853920214710916,-0.0520194427403013,0.05117729337126573,0.06970898983191012,0.01775077868333538,0.06923482261929961,0.028226444380624303,-0.03954386148755985,-0.009647891407012431,0.032870955288967975,0.01119335435046939
TNFRSF9,0.02467727467097161,0.015109118164138586,0.0007423441138761398,0.00694346608943981,0.024824617565607172,-0.0059219978593289535,-0.016484089607613325,0.0022279321565114424,0.0014074039729853177,0.010504230238465055,0.017472954094418666,-0.007468807450687132,-0.0017739067757749434,0.0021117848363185255,0.008869269444570458
ERRFI1,0.05016435268877183,0.03540958563813366,0.06047653534679986,0.05606271221385896,0.03488787184820818,-0.04778277600022386,0.06463357946557419,0.08183856974486291,-0.027253240618292214,0.07938238507802929,0.06073804893298442,-0.0661623397803377,0.0690263802161385,0.016748667427933815,-0.021439317055755858
ERRFI1-DT,-0.008180326178288231,0.04250408547694077,0.01791608719555188,-0.002901381473113861,-0.01701623983191535,0.03555953994247566,-0.00923548243069151,0.018591142917049046,-0.012908076689552446,-0.033406479111062246,0.005067393497207307,0.03019176428488859,0.013793710315213766,-0.00537976529789297,-0.011783759499230505
CA6,0.22757657423685776,0.09491955851299955,0.26765595481610416,0.1487307109577447,0.10653669131961924,-0.08553284551505588,0.27289854857397033,0.2454862523164999,0.11700570687343775,0.25202918954093495,0.10382192174981177,-0.1331842630371987,0.06485680806771939,0.04352192287097325,0.11715074155132253
SLC2A7,0.02383871227510458,0.0011834411194753573,0.003578944223778898,0.01132387921801573,-0.013172159157550946,-0.03270542281128206,0.02017286260830167,0.008105218574481687,-0.009992057132020324,0.010357589075687937,0.005428368857565523,-0.03437260959605474,-0.016428155692642395,0.04521250840714705,0.06317893763793404
SLC2A5,0.042258660861646244,0.03345782619505678,0.04068229331169353,0.04309242647445536,-0.007600010822338515,-0.02107214545055187,0.04028201467937393,0.04297564322564545,0.10846207283226875,0.046415203681685925,0.04076680695463595,-0.020670737853473783,0.05883815662269348,0.010352680252160806,-0.005263013486329406
