,PHA-L,PHA-E,DSL,ConA,PNA,MAL-I,MAL-II,SNA,DBA,ECA,AAL,LEL,GSL-II,Galectin-3,UEA-I
PERM1,0.00835453759108267,0.010105884134699317,-0.0090833173889247,0.007981851694806426,0.026315056054217228,-0.003985974049225616,-0.007372580799098026,8.211401987588945e-05,0.017965306185138256,0.010810570033971402,0.002691263943246466,0.008752143806159234,0.012437137177062525,0.015930103066068006,0.004684859354007105
ISG15,-0.10593637880610315,-0.0032919813633790324,-0.0515171838149387,-0.027684145484961665,0.0007823000736257443,0.07827522861098847,-0.09942873182642278,-0.06835012971972507,-0.012213681816639331,-0.08238210923807623,0.017190678971841667,0.12299278360041084,0.005768940908027671,0.017427875463366615,-0.00645959300032423
ENSG00000224969,0.009260696472230658,0.0176989372259752,-0.00842199340229754,0.004496183494884855,-0.00945385996058933,0.001017945272405983,-0.007602909849667559,-0.007057979250188344,0.01757693657608774,-0.011764905713132172,0.01590494401939796,0.0012916794585633182,-0.0017077484149863678,0.010122002031904553,0.0006428207074219997
TNFRSF18,-0.06823958837265795,0.01726301957180837,-0.10309272884526732,-0.035860352313529104,0.015484907096126335,0.04850679005038881,-0.12505866203260432,-0.10421254907595397,0.013099174048069732,-0.06335466073930698,0.003999548474038421,0.1433911184580767,-0.009197330430491063,0.056224457314379396,0.006923644599498076
TNFRSF4,0.05343532193508483,0.05052858509214438,-0.055874815016869216,0.0168794245147184,0.007431946238887841,-0.02719972161802919,-0.017805563467509933,0.006387180653159448,0.006809648807865206,0.04055120797709637,0.04503947465899715,0.011275038652088096,0.011539352188197781,0.01366155682853434,0.04579920489714094
ENSG00000224387,-0.017861145807811615,-0.015203891277984284,-0.022076135258213673,-0.018680351663839783,-0.005396736553520833,0.0013026614203932158,-0.017796008398933676,-0.0201591533375915,-0.004950571326247917,-0.015657557585031665,-0.015542032216599303,-0.0026368181556057054,-0.0079250328216807,-0.008034023951088452,-0.004756536302196123
AJAP1,-0.0002572615972758886,0.025122737942753055,0.008388290539071537,0.024111968953475536,0.013513787385871027,0.021681631191598546,0.03186896059208172,0.004941842570812501,0.007489770062202459,0.0014835414278988042,0.017495811580369405,0.024265257328474624,0.006836992353169475,0.008708383370096719,0.01852666564452039
ENSG00000236948,0.06025842794082538,0.031344154062075906,0.02015455707204537,0.025207011054771314,0.008098760432175934,-0.026080998565658646,0.005343475612024999,0.06263999858556138,-0.006816051222073345,0.04023289844161183,0.037226466533632874,-0.029338127507541143,0.03167596832026182,0.017538268132537418,0.0057841023596410445
PER3,0.02051284191989578,0.01442410237572674,-0.015861871424215527,0.031115804698928558,0.008497325789335429,-0.015282206972848746,0.013383757474437109,0.04138415470303556,0.004373566202197854,0.012666686366353729,0.039168532793101715,-0.012785833997318549,0.005461584620094787,0.005976565054063964,0.012758231398682951
TNFRSF9,-0.06581075412615027,0.015773866215272388,-0.050493364807461714,0.0032829304595973718,0.0076033715941662946,0.022644156503314795,-0.07378591999944208,-0.051098242154930223,-0.010075430304617343,-0.032406886740750145,0.027595237802055455,0.06897011933963458,-0.0088326043331366,0.004946613058373877,0.006859816119035262
ERRFI1,-0.04461950027049675,0.004761199197194666,-0.02923369282925501,0.0008008141028354944,0.014792580042548867,0.017944604442814982,-0.04537422646319225,-0.03132457355243243,0.013168786389874277,-0.025974428447321406,-0.013394087704822477,0.03098316751800307,0.002365000153399987,0.010104978401082345,-0.00978431884986856
ERRFI1-DT,0.0012552283561319422,0.015802523674545817,0.0029076481880258836,0.004585491397838273,0.02326458280645563,0.014860109198930436,-0.0011520499258417972,0.0011231078394824136,0.01314843632473682,-0.005259581937080114,0.007118208857131954,0.022104355465007747,-0.006998628367022098,-0.007914403155726097,0.0073125092787062725
CA6,0.03059525036426443,-0.1478402351615879,0.2727739787997846,-0.04711273033466872,-0.004835689625904667,-0.009586693103521294,0.25327753377223666,0.15259640597246574,0.0049117496314462,0.15869530893737163,-0.06375186008081468,-0.14847527826623183,0.006556281673586769,-0.029108260251447637,0.0032773976165436773
SLC2A7,0.005646648551017636,-0.003244504623214499,0.010382216017264752,-0.0026139369920699434,0.012815167322037647,0.003396783229991697,0.012996778344713994,0.009814177517284896,-0.009041807184918406,-0.00976663673297226,-0.015492646368261096,-0.005255500792082121,-0.014474413958619994,0.0007767776218548346,0.003563658388012246
SLC2A5,0.00951880822278266,0.01912737068683813,0.0031507665039597595,0.017872559741541665,0.0063481437395857656,-0.00034335384567219684,-0.011522022163671587,0.007239641035622967,0.022063164451508695,0.032051692338296335,0.015281221498635658,0.012668090469732902,-0.010409486670907601,-0.001592630773389997,0.0034171299815421744
RBP7,-0.010811680985393902,-0.010102323296473406,-0.00570923922546492,-0.004850356609200071,1.6878000514901378e-05,-0.011132665627410615,-0.008002601463657881,-0.0003705511052475155,-0.00990584988560154,0.001188907924936592,-0.009632466406621415,-0.019692214112554587,0.016670523753271393,-0.004949941310233641,0.0031125287914161785
