,PHA-L,PHA-E,DSL,ConA,PNA,MAL-I,MAL-II,SNA,DBA,ECA,AAL,LEL,GSL-II,Galectin-3,UEA-I
PERM1,0.009997845222917058,0.008561386652165683,-0.023913470775158364,-0.0004437793758478254,-0.006707845294025718,-0.019477264085291098,-0.005922472636977884,0.007108625655901687,-0.006839266267657213,-0.0030516983623962084,-0.0069690981991990175,-0.010413494418405302,0.013416137336670715,-0.01858337024270769,-0.007368173905871643
ISG15,0.037150989973311475,0.03852849966264345,-0.040247474502749715,0.03463550997983842,0.0069332140801178525,-0.01806197449201475,-0.010789054914426536,0.04609698254271033,0.006888824275263502,0.029302338173241974,0.043423352867249736,0.02566655991667476,0.014981971184330051,0.013688727309420877,0.017231885765996442
ENSG00000224969,0.01486811923930287,0.03107847578703968,-0.01272443697978472,0.021725300469026917,0.005454970434523827,-0.010794651079318242,-0.003913501396313392,0.002445732346752026,0.0056589397295097685,-0.013019666355142059,0.03290476929984812,-0.006468951355145451,-0.005184169744801449,0.012449069585687991,0.012978782237572236
TNFRSF18,0.0806117083958317,0.13445460944533708,-0.0977408797832914,0.037387895001059226,0.01910532911543911,-0.032037503588273106,-0.059011177211174146,-0.02174269736145519,0.02637751149710037,-0.0035296232888913644,0.04403427873035327,0.09293559610943249,0.009171350838253618,0.036930548345866177,0.03646347056266812
TNFRSF4,0.06945365449916169,0.09272060099406784,-0.0732512766578735,0.02931562829055416,0.008544123723813978,-0.025842147637026452,-0.05707400679493471,0.004402364952208019,0.007695833277095218,0.04479039582108552,0.04636686196448617,0.03721608427821798,0.04278245056732424,0.03708984368672945,0.060288095576984266
ENSG00000224387,-0.009691299903331221,-0.017232910877005944,-0.020641152873964085,-0.02107628997646664,-0.0038719724442978303,-0.004915552834844345,-0.01083078013812669,-0.018672857710163176,-0.003947832629826729,-0.014846546605921202,-0.00902055597133582,0.0007510581500977178,-0.006412760737710803,-0.014758250880496076,-0.004253134214907839
AJAP1,0.03216730122327535,0.031573717086182916,0.00591782278444342,0.024988977748110403,-0.006707845294025718,0.031898624921317134,0.03592810914575517,0.021365736328907863,0.05514124818156255,0.006339118935301436,-0.005117130331369981,0.0012857246488472676,-0.011109533333460249,0.031070928906902023,0.049584726045186406
ENSG00000236948,0.024741559952822813,0.027143656364437167,0.016986042927735166,0.024679977247633586,0.0054308880011778755,-0.0014665148864730364,-0.048348055107084564,0.05435767560888834,-0.0077283906150106725,0.03385555546950757,0.055433352090672246,0.011950519197097656,0.02092193631075618,0.008089607324810148,0.001694666376458708
PER3,0.01823944966225528,0.029534811880258496,-0.013465580449709871,0.05164263548311488,0.00705556191326059,-0.00640290979213567,0.020607823716998583,0.06387096755051067,-0.01171235596843484,0.006267966212288846,0.06979741111510437,-0.02554064148790876,0.028398657206209134,0.015781144001896702,0.019868913510523053
TNFRSF9,-0.0027344787756692105,0.02116409298437754,-0.02480189051533375,0.008230013971192635,-0.02017377138178356,-0.011444221681388757,-0.024721874559764448,-0.018600928938942503,0.022504013173166502,-0.00953493822864256,0.016551311956342442,0.01619745457145956,0.010045829463708439,0.011331748846839936,-0.0021569122827136034
ERRFI1,-0.006557539739236148,0.005910269528480139,-0.023135278189902037,0.0014101540914468285,0.02143593489441744,-0.005398815214147601,-0.02466055412984669,-0.03374329006133159,0.029933046362150946,-0.009731859821609384,-0.02817617738586347,0.016020197942686193,-0.009733989766797737,0.010334263371357795,-0.010990966701276073
ERRFI1-DT,0.01554282144482011,0.0006628115987226963,0.0027971986544733044,0.020049189915500237,0.005384831752720695,0.007609663576178151,0.002096797603141342,0.01197904083818011,0.004069383554982414,-0.0012574819819976338,0.01250711669960767,0.027148273927821796,-0.010440166647176627,-0.011474494905604043,0.01746422000649157
