,PHA-L,PHA-E,DSL,ConA,PNA,MAL-I,MAL-II,SNA,DBA,ECA,AAL,LEL,GSL-II,Galectin-3,UEA-I
PERM1,-0.013600851043244924,0.016507538904011836,-0.02226012525281194,0.020858965716635376,0.0353009335946747,-0.015730106744748427,-0.010872824903682549,-0.013398058946314564,0.04245014506583646,0.0016681872084005954,-0.0030505940904577197,0.011190814373690763,0.017622728055414958,0.03887998087690361,-0.00642925670233582
ISG15,-0.06885738058694668,-0.0015078508769856406,-0.026086761589598172,-0.01617510864316553,0.0058518056084133074,0.04084950197788344,-0.03438389430608245,0.0011025798637512017,-0.01391178385366981,-0.034429601965734774,0.03467212777046863,0.057081680711290654,0.0218659254312909,0.0058871695983552285,0.002637962926813339
ENSG00000224969,0.004371097433720421,0.02385634524628858,-0.003550558783238667,0.0022908000041735256,-0.023368974835359116,0.015760700899247113,-0.010205371270007726,-0.017831729076965314,0.05050265047497642,-0.01788345239790876,-0.003968343532783222,0.014559527348553498,0.01369736503809428,0.016774588391822106,-0.017043640499696876
TNFRSF18,-0.03806791139962748,0.02171934579810991,-0.07506741975668725,0.02905964923435585,0.046363897273613425,-0.05227039783723085,-0.05362737291187651,-0.032097716680996854,0.02878733405135439,-0.013742735655146499,0.020661779216766665,0.0315478133422076,0.031239001901331366,0.05948812768871491,0.019483654287662952
TNFRSF4,-0.004398475034992293,0.00987989235628099,-0.013438934418427416,0.025385000941140944,0.0011686033719246547,0.023481988687719394,-0.00278077202164509,0.02086840062827432,0.007611816352544966,0.010338596562754713,0.02924794504811969,0.03928637347553768,-0.0291443283211217,-0.00817790954840382,0.035319299077412804
ENSG00000224387,-0.029787342497796205,-0.008457524590046166,-0.02101067555708027,-0.00784318769675718,-0.0062323533236533285,0.03057404077477715,-0.02660125599705753,-0.017611278361960064,-0.005388272608323,-0.01206452343738328,-0.012600419711108073,0.030062043698832707,-0.008601917123051677,0.010048784450133599,-0.004545427870233999
AJAP1,0.02617258942723188,-0.006982306598698274,0.039369928535618645,-0.01624628841510468,0.021949883654227863,-0.01833382161486779,0.04120562517295523,0.025499549412571012,-0.009335814005841696,0.035321217014421036,-0.02067413789008182,-0.024854865938997505,-0.014903829889829771,-0.003137195014627437,-0.007875486683418
ENSG00000236948,0.035517572895637534,0.0465146815133108,-0.001374662449269636,0.0008585567546993449,0.02462094011673453,-0.0022776567398412276,-0.00817882779848464,0.02225113621224879,-0.02207374480910077,0.007853307064473639,0.0037600785706536255,0.003697906565889459,0.04499113150397342,0.04679359291577027,0.01900121737445695
PER3,-0.025132505764083594,0.00322864025010996,-0.020408328555954626,0.0060339803067985445,0.018660583207602367,0.005039779698872532,-0.0059745279475199205,-0.003952957845607062,0.017357224813504966,-0.0015757728700572925,0.001328744944068928,0.011606811917457473,0.009671615706950354,-0.009108900285037202,0.004906638876405736
TNFRSF9,-0.08341800996111975,-0.0100840094995532,-0.06358734830675614,-0.000351881927435872,0.000573067916396661,-0.015987634330212847,-0.09071058488000806,-0.029392652320325337,-0.03721965989477283,-0.037607939111999195,0.01024778274908534,0.021979086146308228,-0.031531054248236455,-0.023898301268263485,0.001699073402494453
