,PHA-L,PHA-E,DSL,ConA,PNA,MAL-I,MAL-II,SNA,DBA,ECA,AAL,LEL,GSL-II,Galectin-3,UEA-I
PERM1,0.03313344939566618,-0.00891108410795216,0.025231659599389604,-0.0017534150185861575,0.06339182530858156,-0.019900040256010595,0.00034595950547101223,0.02680756139683216,-0.007042261427162448,0.058102206061031836,0.02542641607955981,0.01733367534448128,0.04753498154427279,0.04608484444166487,-0.006875219186292414
ISG15,-0.007186610807338526,0.05582225978936589,0.019078358442737187,0.04557718558380605,-0.010789488402340874,0.07753532088388848,0.009224235899639312,0.023507258454679655,0.030875155366089646,-0.012052251389766443,0.06860491643947049,0.027427897395650238,-0.009330917248536661,-0.011096571819900942,0.00031009164347282106
ENSG00000224969,0.010287681023356225,0.0009952435275538604,-0.008723865012578436,0.0015492283836121494,-0.01745619844366768,0.009071402765656296,-0.025148682992688475,-0.02549617120987154,-0.012215589401388895,-0.026773923447573053,-0.001522587390629907,0.007025825277370582,-0.021412653755727665,-0.014799519416729322,-0.01192583596802645
TNFRSF18,-0.020020246610271537,-0.05224095875646098,0.010108409899633219,3.2837825598104615e-05,-0.016189218190489293,-0.013682233249782417,-0.010141467382825512,0.07125300781105805,0.05645784272889371,0.08100182836627741,0.038561611909544526,0.07577619565764736,-0.01608206875931881,0.10214044940848224,-0.0005831259102794938
TNFRSF4,0.014555623843906408,0.05839797083423888,0.045394354634595555,0.045084168501878574,0.033022499267184695,0.011421521055140474,0.021701949295959824,0.026722109700927157,0.05262864227922809,0.023154507004151507,0.055211843165475,0.01645303369109175,-0.004568221849448767,0.04446960004527083,-0.022538253599958227
ENSG00000224387,-0.041274050739622,-0.019940363836505978,-0.02473405130444216,-0.03779818561290737,-0.007113315536293231,-0.030986884189305855,-0.0176480060415745,-0.04634128184372486,-0.004977792968743403,-0.022461530184922952,-0.03717928069008082,-0.04460434648413031,-0.008725551735987403,-0.026881040806520137,-0.0048597198610228
AJAP1,0.013004629297909543,0.024803867211263535,0.009032097386453598,0.0029182422715847596,-0.007113315536293231,-0.0029875247088344205,0.01750904536408179,-0.019592565936927153,-0.004977792968743403,0.02184614579629493,0.022342478536762182,-0.010630007806965635,-0.008725551735987403,-0.026881040806520137,-0.0048597198610228
ENSG00000236948,0.043395126641152706,0.015285296320666605,0.039254884794971405,0.03369875004091925,-0.007113315536293231,-0.010074211227464908,0.03203043616207026,0.044048534765999355,-0.004977792968743403,0.04292306110680483,0.020317691419368112,-0.013409094815322662,-0.008725551735987403,0.0013148335177102244,-0.0048597198610228
PER3,0.00497415147530448,-0.009688177763619557,0.029886451655075152,0.004422788139824047,0.0015579990392752025,-0.033095661227920244,0.013310514526450707,0.030801386159435607,-0.011830206207185856,0.04190118623517766,0.008901737384413444,-0.014064260167426302,-0.018732155940652997,0.04206261176784885,0.03532009485137149
TNFRSF9,0.05083163132801648,0.028052295895273607,0.01467857994045615,0.023379692505501037,0.026441211970126118,-0.014411136104348896,0.003998551369516705,0.028428154117603806,0.01768780938806841,0.035041520464673036,0.031125738881948656,-0.023937494335632036,0.0030361607208741754,0.0017323172260219433,-0.0032370705699370124
ERRFI1,-0.015916627791583895,-0.006807307847418773,0.021045207569120254,0.011891171252479541,0.046030328219065914,-0.021367408625716015,0.005835509400120613,0.020983722938777514,-0.01855209672799201,0.04630416180961168,0.028332475035950388,-0.022283573113429312,0.029024330572899344,0.02871102529737063,-0.018548518492360444
ERRFI1-DT,-0.0017643317411334476,0.05314694183210147,0.028074890929589494,0.008104452543231564,-0.015929369055568573,0.03243700244183298,0.00033127979585094165,0.0347123667574803,-0.011147136785478219,-0.02728512982611764,0.013669504408970932,0.025189506504687254,0.021725437608538126,-0.005164282647679191,-0.010882727017793501
CA6,0.1660309257500809,0.04753470267356401,0.17440956466223764,0.07832985933322602,0.06181660907612574,-0.05217122126931163,0.19188862602095305,0.1650552439763372,0.009706517712206946,0.17494852315544254,0.04079366687805318,-0.07731247487774899,0.03897369144255633,0.018841498690028637,0.1466734910234933
SLC2A7,0.014676159445787599,-0.02297929646626483,-0.01908376931250106,-0.011526545530538576,-0.010063461444664882,-0.04139357225850184,-2.5462735672116857e-05,-0.013010649556934754,-0.007042261427162448,-0.0037207976965418963,-0.018471845545156636,-0.030041395750573352,-0.012344349555495132,0.06164726916422643,-0.006875219186292414
RBP7,-0.04620768954925785,-0.0380777579088229,-0.02866457347169041,-0.041691028548342016,-0.012329724465191521,-0.05233527686720421,-0.03344790517265811,-0.05883468781460212,-0.00862815875891209,0.002238453481363674,-0.04836827478454387,-0.059591384698435244,-0.01512426211976538,-0.04659371917229405,-0.008423499078413433
ENSG00000285646,0.09257235472396684,0.09444334035705614,0.0968599857932259,0.12218484940704859,0.021962981359790752,0.029376849530306153,0.11782078185515638,0.16441616829294842,0.04983582572736103,0.11122536176655651,0.11565727036279727,0.01267558785264465,0.04288655720266153,0.06912329623688784,0.019393332350761405
KAZN,-0.0034193590562537784,-0.013187216385234162,-0.008682757616807823,-0.011579684650560685,-0.003104577059256573,0.02556824505613167,-0.030886239478057187,-0.025394012046709248,-0.020502863760234052,-0.006586578276234723,-0.03382313260346264,0.010159466807403981,-0.021968624548696004,-0.0423636504670894,0.02774146056541538
TMEM51,0.010666345878371905,0.008407463969566297,-0.03123896616011574,-0.00708939715665344,0.0698669800274964,0.007354058349636382,-0.006548783475967741,-0.027214874130371724,-0.007042261427162448,-0.0317771286611502,-0.003260667974479507,-0.023915529092733714,-0.012344349555495132,-0.038029568120331925,-0.006875219186292414
ENSG00000282740,0.043951474418603385,0.029111541628905942,0.019870614250197913,0.036200100559420474,0.10089461346880281,-0.010004733908654806,0.04217456561903828,0.022927470777255182,-0.004977792968743403,0.017999993367369765,-0.0023738883445309825,-0.018828314481618865,-0.008725551735987403,0.0062819823623932935,-0.0048597198610228
CROCC,0.09243066369975543,0.07032734954288772,0.06872734632487162,0.09332608945409533,0.05550061717729264,-0.017927494336076474,0.09782260523794076,0.12599249739862323,0.017044768394795972,0.10567634889560917,0.06058025449411016,-0.018013955071886457,0.01640928801964236,0.05357231013016622,0.0369798358512887
ENSG00000228549,0.04336207279679459,-0.00018042188749167032,0.005467715911677791,-0.004412608559388376,-0.012329724465191521,-0.025113960268935143,0.012428116697181104,-0.003468857595772109,-0.00862815875891209,-0.0025870546037892453,-0.011951896578686106,-0.02712256361556172,-0.01512426211976538,-0.019498458566666536,-0.008423499078413433
PAX7,0.016759976795701605,0.037240540126715,0.03202920688580853,0.03210066498743236,-0.007113315536293231,0.026053994553788554,-0.0026402528723615394,0.024386491644898693,-0.004977792968743403,-0.022461530184922952,-0.009844654605260838,0.01507654702033688,-0.008725551735987403,-0.026881040806520137,-0.0048597198610228
EIF4G3,-0.00904298141971504,-0.009877435349255814,-0.011356283132795148,-0.0435371076284031,0.010919424514131222,-0.01457512497731938,-0.03547528335451689,-0.06276337941369672,-0.0323998143046513,0.03437751641374746,-0.07142272093244453,-0.0167975594070839,-0.013781296813641321,-0.030742099345934346,0.008661487907546863
LUZP1,0.06892429070645659,0.11210931661148267,0.08213409415854657,0.0765410665823169,0.003660196545463912,0.10775350425603551,0.058476226542629496,0.0003795232315280298,-0.007980893888401957,-0.013511687137003932,0.06073127072022468,0.03961097188708564,0.007561179383097925,-0.02687404479639573,-0.0016513624622014303
ID3,0.08837793420006596,0.0421909441177221,0.06634850145489941,0.058441710912921954,0.02394350536381451,-0.0440624770290044,0.06225254848954379,0.08631907942005605,-0.020021918630095694,0.07407450208596385,0.07010025742303287,-0.04995474986160969,0.05152347782630023,0.030711098362540063,0.09625926841209287
RPL11,0.08442099113538158,-0.01079803611661562,0.09246484418097009,0.07860664669429306,0.06620175749907577,-0.06104786594572368,0.17187489392213165,0.25735165247948444,-0.0001760007229573712,0.20120535858885522,0.09119587758301484,0.0071923453255619725,0.025454110808004204,0.08360030461295587,0.0599616031103776
CNR2,-0.057768203226436055,-0.11376475022500393,-0.02308054857303774,0.0013285899590021173,0.005435526127411516,-0.07499131286306358,0.012531173127984444,0.11338983400093415,-0.024558937868094568,0.14451324699514012,0.054497315025637434,0.06474185162014301,-0.009930155424815857,0.1266703893731136,0.002586147354389403
IFNLR1,0.12744529915890612,0.020511104183670328,0.050284361138093904,0.0177392055706166,0.029464471488072984,-0.06491996598573582,0.11944719720146638,0.10231484698012389,-0.019378959849278496,0.09948163873600127,-0.002562098086995942,-0.06301718024432823,0.03542492337032335,0.002508798901023808,0.021200687859324184
GRHL3,0.026172242552760495,0.023028945182363647,0.02404025307313269,-0.003997428904284262,-0.015929369055568573,0.006927775635962288,-0.001002635239324812,0.015213882151989298,-0.011147136785478219,0.024426843840577524,-0.016049771537453253,0.016142868154522753,0.025853241231891578,0.04051230669906549,0.06001130752536987
STPG1,0.004250301124951531,0.03933268922975376,0.04517869202723239,0.02796468370038765,-0.016808089615110832,0.009254940457252806,0.024637641202259957,0.04301260593705509,0.0006437659594968862,0.06659183137614863,0.013547075264597034,-0.0051975508800932825,0.002214054585791824,0.046614388741005146,0.11920291968720961
CLIC4,0.046567736934178816,-0.011928348104940428,0.014425251620958061,0.0275870183409206,-0.0424129832079291,-0.03693101698546284,0.02462900541520869,0.01898283207028354,-0.02092677059260876,0.026026122684318427,0.03100364028440973,-0.03352794547497587,0.015225967059448377,-0.0001458115827284241,0.0013877881249787667
RHCE,0.05031121429527914,0.0021049581764410502,0.03828023193726497,0.01632680086157943,-0.008582869164270588,-0.009284522341668352,0.05211795316021672,0.03555762796872168,-0.005336798792651939,0.05585199986790189,-0.011573662775957972,-0.004312978170827475,0.06423294916494025,-0.003681335908814593,0.047219806333882834
MAN1C1,0.20735018585617956,0.018900130910514925,0.12026636424171692,0.06658801621398248,0.06317728521738565,-0.12469314510494187,0.18180226012340625,0.23765424886151704,0.03458455794348846,0.24291113837776607,0.042875546417202835,-0.05213891234060262,0.07354616742300425,0.09073362336352134,0.09897925189753785
ZNF683,0.04203309099563117,0.01947029288962898,-0.007111971246161586,0.033968362106704425,0.03987882296869351,0.040550972774393755,0.007417852506963302,0.013221140923644974,0.03095160334786525,0.031391536824639396,0.029526156084806562,0.03355126606970099,0.05371170597757559,-0.013572882402506026,-0.016177540880571318
LINC01226,-0.006098529662392809,-0.024897441759631628,-0.022428182166469857,-0.016543474327615295,-0.010063461444664882,-0.03573760870075174,0.0007614881377498879,-0.012961467360436123,-0.007042261427162448,0.04545030524216971,-0.018471845545156636,-0.022614885037515534,-0.012344349555495132,0.008904352171412468,-0.006875219186292414
ENSG00000284702,0.03435178011274106,0.029196524661985336,0.05083538147396111,0.04023126327456697,-0.014242398530412752,0.01037935261983216,0.00424207398776273,0.03296298643363157,-0.00996661977118956,0.0340074916937562,0.008960643727362987,0.016786477174083932,0.030055134270091242,0.008853310096322141,-0.009730211833526571
MARCKSL1,0.05220297399820483,0.04099489992064567,0.046735053820825545,0.06570586035947035,0.027618770286213817,0.004634889094607661,0.06945727344222695,0.0886919195207089,0.029256137682350993,0.06045476019846612,0.027518731497106194,0.0009530103018687747,0.04667610794605678,0.033407404039963284,0.02208374622886351
RNF19B,0.06334914424220761,0.008940142272930704,0.06377606505158034,0.04030285518647724,0.0373625569213608,0.0001603159015565989,0.07873436487544573,0.04950249723790443,0.000794331870847644,0.05301904889952609,0.02878309964457646,-0.0027031498413663054,0.041777181202709276,-0.006371969292755918,0.07078376670544935
CLSPN,0.05526543199143897,0.033139388786232224,0.051672629752649135,0.05691327777079411,0.008735171356683507,0.009380382672513184,0.020257972666403615,0.08156614788751894,0.01196013350567076,0.05308994145867549,0.04213910852660777,0.04325198244227201,0.006627288704107094,0.04972061455765787,0.07524546925453396
COL8A2,0.03532647049340551,-0.002608399272779718,-0.006146112419739813,0.04079128885233611,0.08894424039802105,-0.003517728492021783,0.03318883861171496,0.04208160097187474,-0.011147136785478219,0.030416742571352077,0.01703995712417676,0.013847301298518019,0.020805024105162828,0.02605872802410107,-0.010882727017793501
ENSG00000233728,-0.026078802068000423,-0.011672408099418134,-0.018272627789517663,-0.0421755490202845,-0.007113315536293231,-0.030847929551685648,-0.022511629753819443,-0.016257661096599128,-0.004977792968743403,0.0471538287786225,-0.019340207983384764,-0.02042628951142416,-0.008725551735987403,0.03688838480242573,0.15643669647863873
